Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000001,Female,Yes,2,Graduate,No,5803,644,56.0,360.0,1.0,Urban,Y
LP000002,Male,No,0,Graduate,No,14784,0,183.0,300.0,,Urban,Y
LP000003,Female,Yes,0,Graduate,No,3487,209,138.0,120.0,1.0,Urban,Y
LP000004,Female,Yes,0,Graduate,No,4962,4164,420.0,300.0,1.0,Urban,Y
LP000005,Male,No,0,Graduate,No,4532,0,133.0,360.0,0.0,Rural,Y
LP000006,Female,No,3+,Graduate,No,8000,0,63.0,360.0,1.0,Semiurban,Y
LP000007,Female,Yes,2,Graduate,,13469,0,341.0,360.0,1.0,Urban,Y
LP000008,Female,No,0,Not Graduate,No,1840,0,158.0,180.0,1.0,Semiurban,N
LP000009,Male,No,1,Graduate,Yes,8058,0,98.0,180.0,1.0,Semiurban,Y
LP000010,Male,Yes,2,Not Graduate,No,3024,2027,465.0,180.0,1.0,Urban,Y
LP000011,Male,No,0,Not Graduate,No,1090,0,132.0,360.0,1.0,Urban,N
LP000012,Female,No,1,Graduate,No,8354,0,98.0,360.0,1.0,Semiurban,Y
LP000013,Male,No,2,Not Graduate,No,7451,2625,226.0,480.0,0.0,Rural,N
LP000014,Female,Yes,0,Graduate,No,7576,5187,227.0,300.0,1.0,Urban,Y
LP000015,Male,Yes,1,Graduate,No,2948,0,222.0,120.0,1.0,Rural,Y
LP000016,Male,Yes,0,Not Graduate,No,1116,691,281.0,360.0,0.0,Semiurban,N
LP000017,Male,No,0,Not Graduate,No,4091,0,47.0,360.0,1.0,Semiurban,Y
LP000018,Male,No,2,Graduate,No,2204,0,212.0,360.0,1.0,Urban,N
LP000019,Female,Yes,2,Graduate,No,2352,0,140.0,360.0,0.0,Semiurban,N
LP000020,Male,Yes,3+,Graduate,No,5095,483,144.0,360.0,1.0,Semiurban,Y
LP000021,Female,Yes,0,Not Graduate,No,4351,0,101.0,60.0,1.0,Urban,Y
LP000022,Male,Yes,2,Graduate,No,3574,899,,360.0,1.0,Rural,Y
